recording_id,driver,driving_style,vehicle,phone_model,country,region,tyre_pressure_code,has_v_data,has_s_data,is_paired,is_synchronized,v_file_path,s_file_path,v_rows,s_rows,v_cols,s_cols,duration_seconds,duration_minutes,start_lat,start_lon,end_lat,end_lon,min_lat,max_lat,min_lon,max_lon,distance_km_approx,max_speed_kmh,v_gps_dropouts_count,s_sensor_names,split
A7,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A7.csv,,43872.0,,24.0,4387.1,73.12,50.986195,-3.21749,51.65556,-2.432973,50.973503,51.65585,-3.217763,-2.432863,103.87,30.1,,accel+gyro+gravity+mag+orientation,train
A8,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A8.csv,,66617.0,,24.0,6661.6,111.03,51.656784,-2.431433,52.49129,-1.432837,51.655445,52.491463,-2.43316,-1.406683,135.73,29.3,,accel+gyro+gravity+mag+orientation,train
A9,Driver H,Defensive,Volvo XC70,Blackberry Priv,United Kingdom,Coventry / Warwickshire,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-A9.csv,,11962.0,,24.0,5980.5,99.67,52.49089,-2.197581,52.431503,-1.440212,52.43012,52.51459,-2.197581,-1.428275,65.56,109.8,,accel+gyro+gravity+mag+orientation,train
I,Driver G,Defensive,Toyota Corolla Verso,Huawei P20 Pro,Nigeria,Lagos (Victoria Island),Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-I.csv,,5800.0,,24.0,579.9,9.66,6.44293,3.410031,6.442914,3.410001,6.442914,6.44293,3.410001,3.410285,0.06,0.8,,accel+gyro+gravity+mag+orientation,train
M,Driver B,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\M (Driver B)\V-M.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\M (Driver B)\S-M.csv,105974.0,105974.0,29.0,24.0,10597.3,176.62,52.4025641,-1.5034825,52.4132793,-1.5306981,52.3578301,52.4793227,-1.5887188,-1.3784151999999998,104.85,100.7,80.0,accel+gyro+gravity+mag+orientation,train
S1,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S1\V-S1.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S1\S-S1.csv,51746.0,51746.0,29.0,24.0,5174.5,86.24,52.4017192,-1.5053331,52.403121000000006,-1.5579614,52.3984045,52.4199255,-1.6034266,-1.5053331,37.94,93.8,71.0,accel+gyro+gravity+mag+orientation,train
S2,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S2\V-S2.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S2\S-S2.csv,93876.0,93876.0,29.0,24.0,9387.5,156.46,52.4031372,-1.557977,52.5552654,-1.4590376,52.3902747,52.5587793,-1.5970094,-1.3631521,75.27,105.2,0.0,accel+gyro+gravity+mag+orientation,train
S3A,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3a\V-S3a.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3a\S-S3a.csv,24621.0,24621.0,29.0,24.0,2462.0,41.03,52.4048835,-1.5002890999999998,52.3707538,-1.2543473,52.3626579,52.4078496,-1.5002890999999998,-1.2288605,25.88,98.0,2.0,accel+gyro+gravity+mag+orientation,train
S3B,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3b\V-S3b.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3b\S-S3b.csv,6813.0,6813.0,29.0,24.0,681.2,11.35,52.3704618,-1.2544278,52.3792637,-1.2611948999999998,52.369639600000006,52.379301000000005,-1.2611948999999998,-1.2520968,3.73,44.7,0.0,accel+gyro+gravity+mag+orientation,train
S3C,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3c\V-S3c.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S3c\S-S3c.csv,37183.0,37183.0,29.0,24.0,3718.2,61.97,52.3794122,-1.2617807,52.4056755,-1.5001132,52.3794122,52.4373251,-1.5197389,-1.2365298999999998,43.9,117.1,275.0,accel+gyro+gravity+mag+orientation,val
S4,Driver A,Defensive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Coventry / Rugby / Nuneaton,E,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S4\V-S4.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\S (Driver A)\S4\S-S4.csv,94600.0,94600.0,29.0,24.0,9459.9,157.67,52.40245660000001,-1.5053917999999995,52.4044431,-1.5055807,52.3698962,52.4382826,-1.5901432,-1.4304653000000005,88.24,109.6,3.0,accel+gyro+gravity+mag+orientation,train
ST1,Driver C,Defensive,Ford Fiesta Titanium (FWD),None (CAN Only),United Kingdom,Coventry / Warwick / Oxford / Stokenchurch,E,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\St (Driver C)\St1\V-St1.csv,,57213.0,,29.0,,5721.2,95.35,52.40716380000001,-1.5244733,52.4056331,-1.5001644000000005,52.3376429,52.4119814,-1.581401,-1.4964588000000003,46.71,73.3,37.0,,val
ST4,Driver C,Defensive,Ford Fiesta Titanium (FWD),None (CAN Only),United Kingdom,Coventry / Warwick / Oxford / Stokenchurch,E,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\St (Driver C)\St4\V-St4.csv,,13591.0,,29.0,,1359.0,22.65,52.4043335,-1.5012401,52.2183015,-1.5021474,52.2183015,52.4043335,-1.6137171,-1.4909137,28.42,101.4,8.0,,train
ST6,Driver C,Defensive,Ford Fiesta Titanium (FWD),None (CAN Only),United Kingdom,Coventry / Warwick / Oxford / Stokenchurch,E,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\St (Driver C)\St6\V-St6.csv,,51360.0,,29.0,,5135.9,85.6,52.218326300000015,-1.5021495,51.7624114,-1.2732289,51.66030080000001,52.218326300000015,-1.5021495,-0.9125224,113.41,122.1,0.0,,train
ST7,Driver C,Defensive,Ford Fiesta Titanium (FWD),None (CAN Only),United Kingdom,Coventry / Warwick / Oxford / Stokenchurch,E,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\St (Driver C)\St7\V-St7.csv,,44427.0,,29.0,,4509.7,75.16,51.7623562,-1.2733173999999996,52.4006856,-1.498819,51.762215,52.4006856,-1.6152968,-1.1996767999999995,89.89,117.9,3.0,,train
T1,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T1.csv,,25759.0,,18.0,738.38,12.31,45.93137,-0.472371,46.430916,-0.502888,45.93137,46.430916,-0.548924,-0.29926,76.2,38.5,,accel+gyro+gravity,train
T10,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T10.csv,,6699.0,,24.0,669.8,11.16,48.901104,2.340227,48.874504,2.292762,48.874504,48.901104,2.279519,2.340227,6.56,19.1,,accel+gyro+gravity+mag+orientation,test
T11,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T11.csv,,5690.0,,24.0,568.9,9.48,48.865894,2.299761,48.859264,2.322507,48.859264,48.865894,2.299594,2.322507,2.28,12.7,,accel+gyro+gravity+mag+orientation,train
T2,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T2.csv,,75555.0,,18.0,7554.94,125.92,47.27167,-2.205261,46.42865,-0.506712,46.39089,47.37175,-2.208136,-0.506712,201.23,39.3,,accel+gyro+gravity,train
T3,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T3.csv,,65859.0,,18.0,6469.24,107.82,46.428593,-0.506668,45.626423,0.225825,45.624,46.429844,-0.551489,0.227603,151.0,37.8,,accel+gyro+gravity,train
T4,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T4.csv,,73482.0,,18.0,3580.24,59.67,45.62667,0.225799,46.430275,-0.504613,45.623695,46.43135,-0.548824,0.227605,151.67,36.6,,accel+gyro+gravity,train
T5,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T5.csv,,46387.0,,18.0,2036.99,33.95,46.430428,-0.504429,47.173744,-1.494831,46.391026,47.180054,-1.514612,-0.504429,136.82,38.4,,accel+gyro+gravity,train
T6,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T6.csv,,86440.0,,18.0,2510.86,41.85,47.178062,-1.502619,48.49632,-2.715081,47.178062,48.506832,-2.716249,-1.468989,212.57,35.1,,accel+gyro+gravity,test
T7,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T7.csv,,101690.0,,18.0,10170.09,169.5,48.499973,-2.722982,47.12517,-2.076044,47.111225,48.500225,-2.724947,-1.589348,246.86,33.3,,accel+gyro+gravity,train
T8,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T8.csv,,48344.0,,18.0,4833.81,80.56,47.12512,-2.075933,46.573204,-1.116186,46.57315,47.200417,-2.075957,-1.115348,124.87,38.1,,accel+gyro+gravity,train
T9,Driver F,Defensive,Renault Megane,Motorola Moto G7 Power,France,Charente-Maritime / Paris,Unknown,False,True,False,False,,Unsynchronised V and S Dataset\Uncategorised IOVNB (V and S) Dataset\S-Dataset\S-T9.csv,,79909.0,,18.0,7990.72,133.18,46.573257,-1.116153,45.626823,0.2257,45.623993,46.573257,-1.116153,0.227525,205.23,38.5,,accel+gyro+gravity,train
VFA01,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,C,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa01\V-Vfa01.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa01\S-Vfa01.csv,11535.0,11486.0,29.0,24.0,1153.4,19.22,52.5589784,-1.4832005,52.7098299,-1.5034811,52.5589784,52.7098299,-1.5119583,-1.4738639,18.76,98.4,0.0,accel+gyro+gravity+mag+orientation,train
VFA02,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,C,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa02\V-Vfa02.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vf (Driver E)\V-Vfa02\S-Vfa02.csv,67755.0,67523.0,29.0,24.0,6775.4,112.92,52.7098426,-1.503177,53.7921429,-1.7665322,52.7098422,53.792844,-1.770652,-1.2310592,163.02,117.9,63.0,accel+gyro+gravity+mag+orientation,train
VFB01A,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb01a\V-Vfb01a.csv,,17000.0,,29.0,,1699.9,28.33,53.79207320000001,-1.7665349,53.7684721,-1.7491678,53.7684721,53.7950732,-1.7670114,-1.7491678,6.72,68.9,40.0,,train
VFB01B,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb01b\V-Vfb01b.csv,,3880.0,,29.0,,387.9,6.47,53.7684562,-1.7491562,53.7402147,-1.7229518,53.7381211,53.7684562,-1.7491562,-1.7229518,4.03,83.0,0.0,,train
VFB01C,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb01c\V-Vfb01c.csv,,6320.0,,29.0,,631.9,10.53,53.7402274,-1.7229367000000002,53.7332028,-1.5822718,53.7296997,53.7477319,-1.7229367000000002,-1.5822718,10.62,104.5,0.0,,train
VFB01D,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb01d\V-Vfb01d.csv,,10713.0,,29.0,,1071.2,17.85,53.7332039,-1.5822656,53.7217433,-1.5430456,53.7215661,53.7345118,-1.5822656,-1.5430456,3.37,56.0,0.0,,train
VFB02A,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02a\V-Vfb02a.csv,,35960.0,,29.0,,3595.9,59.93,53.7218738,-1.5428512,52.9909387,-1.2329651,52.9909387,53.7218738,-1.5574097,-1.2306519,96.34,122.3,0.0,,train
VFB02B,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02b\V-Vfb02b.csv,,11000.0,,29.0,,1099.9,18.33,52.9909321,-1.232969,52.9972472,-1.2002732000000005,52.9870595,53.0016125,-1.2332696999999997,-1.1856696999999998,7.63,84.3,0.0,,train
VFB02C,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02c\V-Vfb02c.csv,,640.0,,29.0,,63.9,1.07,52.9972509,-1.2002942,52.9992135,-1.2041665,52.9972509,52.9992135,-1.2046019999999995,-1.2002942,0.51,52.8,0.0,,train
VFB02D,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02d\V-Vfb02d.csv,,880.0,,29.0,,87.9,1.47,52.9992211,-1.2041752,53.0041653,-1.2117975,52.9992211,53.0045998,-1.2117975,-1.2041752,0.81,57.3,0.0,,val
VFB02E,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02e\V-Vfb02e.csv,,980.0,,29.0,,97.9,1.63,53.0041569,-1.2118056,52.9918423,-1.2211588000000004,52.9918423,53.0041569,-1.2211588000000004,-1.2118056,1.49,73.9,0.0,,train
VFB02F,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02f\V-Vfb02f.csv,,660.0,,29.0,,65.9,1.1,52.9918338,-1.2211732,52.9903918,-1.2256654,52.9898102,52.9918338,-1.2256654,-1.2211732,0.45,49.5,0.0,,test
VFB02G,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro (fa) / None (fb),United Kingdom,Nuthall / Nottinghamshire / Nuneaton,D,True,False,False,False,Unsynchronised V and S Dataset\Categorised IOVNB (V) Dataset\V Dataset\Vf (Driver E)\V-Vfb02g\V-Vfb02g.csv,,27159.0,,29.0,,2715.8,45.26,52.9903925,-1.2256857999999995,52.5548896,-1.4629636,52.553116,52.9903945,-1.5472909,-1.2256857999999995,63.45,119.4,0.0,,train
VTA10,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta10\V-vta10.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta10\S-Vta10.csv,1502.0,1502.0,29.0,24.0,150.1,2.5,52.88176740000001,-1.7174155000000002,52.8909042,-1.767002,52.88176740000001,52.8909042,-1.767002,-1.7174155000000002,3.74,118.0,0.0,accel+gyro+gravity+mag+orientation,train
VTA11,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta11\V-vta11.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta11\S-Vta11.csv,510.0,510.0,29.0,24.0,50.9,0.85,52.892154,-1.7710478,52.8946472,-1.7730389999999998,52.892154,52.8946472,-1.7760076,-1.7710478,0.69,97.7,0.0,accel+gyro+gravity+mag+orientation,val
VTA12,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta12\V-vta12.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta12\S-Vta12.csv,610.0,610.0,29.0,24.0,60.9,1.02,52.8958062,-1.7704992,52.90527039999999,-1.7661359,52.8958062,52.90527039999999,-1.7704992,-1.7661359,1.11,85.3,0.0,accel+gyro+gravity+mag+orientation,train
VTA13,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta13\V-vta13.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta13\S-Vta13.csv,404.0,404.0,29.0,24.0,40.3,0.67,52.9073546,-1.7648318,52.9155214,-1.7605365,52.9073546,52.9155214,-1.7648318,-1.760498,0.97,103.6,0.0,accel+gyro+gravity+mag+orientation,train
VTA14,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta14\V-vta14.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta14\S-Vta14.csv,2885.0,2885.0,29.0,24.0,288.4,4.81,52.9164217,-1.7604872,52.9639178,-1.7574937,52.9164217,52.9639178,-1.7637877000000002,-1.7574937,5.42,91.0,0.0,accel+gyro+gravity+mag+orientation,train
VTA15,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta15\V-vta15.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta15\S-Vta15.csv,833.0,833.0,29.0,24.0,83.2,1.39,52.9654261,-1.7569492,52.979204900000006,-1.7506647999999998,52.9654261,52.979204900000006,-1.7569492,-1.7498335000000005,1.63,78.8,0.0,accel+gyro+gravity+mag+orientation,train
VTA16,Driver E,Aggressive,Ford Fiesta Titanium (FWD),Huawei P20 Pro,United Kingdom,Atherstone / Tamworth / Ashby / Leicestershire,A,True,True,True,True,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta16\V-vta16.csv,Synchronised V abd S datasets\Categorised IOVNB Dataset\Vta (Driver E)\Vta16\S-Vta16.csv,11335.0,11335.0,29.0,24.0,1133.4,18.89,52.9800935,-1.750112,53.0526879,-1.7740729,52.9800935,53.0630724,-1.7740729,-1.7316515,13.63,93.9,0.0,accel+gyro+gravity+mag+orientation,train
